epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3332,1.14749,1.62088,1.75312,1.45055,0.76476,0.69496,0.78602,0.52676,0.76121,0.69928,0.77852,0.56725,1.24552,1.81366,1.59699,1.96754,0.000663743,0.000663743,0.000663743
2,87.5289,1.24362,1.27705,1.28232,1.49646,0.71278,0.71934,0.74123,0.46264,0.72315,0.72872,0.77163,0.52957,1.39086,1.51901,2.14112,1.83974,0.00126455,0.00126455,0.00126455
3,128.548,1.2765,1.20252,1.32989,1.49965,0.52451,0.67754,0.6293,0.43439,0.54628,0.69203,0.64607,0.48319,1.29444,1.07681,1.60484,1.76478,0.00179937,0.00179937,0.00179937
4,168.487,1.26118,1.20505,1.29049,1.51198,0.75715,0.68908,0.75006,0.48938,0.75854,0.6943,0.7485,0.53337,1.24534,1.20886,1.28014,1.63845,0.001703,0.001703,0.001703
5,209.076,1.17567,1.15081,1.19113,1.4418,0.85782,0.78693,0.86694,0.65486,0.85683,0.7971,0.87647,0.70635,1.09034,0.71106,1.28117,1.59658,0.001604,0.001604,0.001604
6,249.175,1.13293,1.04033,1.08139,1.40637,0.87305,0.83696,0.90886,0.70704,0.88114,0.8595,0.92277,0.73846,1.0226,0.74656,0.96546,1.52213,0.001505,0.001505,0.001505
7,290.968,1.09155,0.98953,1.05645,1.37779,0.92092,0.83696,0.90269,0.69272,0.92974,0.8442,0.9181,0.76412,1.08627,0.66595,1.09884,1.50864,0.001406,0.001406,0.001406
8,331.332,1.02844,1.0413,1.00872,1.34958,0.91689,0.83941,0.91007,0.71252,0.92172,0.8533,0.92136,0.76674,0.98336,0.70162,1.0178,1.46033,0.001307,0.001307,0.001307
9,371.727,1.00967,1.00423,0.96321,1.31863,0.94704,0.84222,0.9246,0.75025,0.94704,0.84222,0.93328,0.7723,0.92172,0.67458,0.77672,1.41061,0.001208,0.001208,0.001208
10,411.995,1.00037,1.01437,0.94466,1.31689,0.94968,0.8442,0.92209,0.78026,0.95375,0.84783,0.93152,0.8086,0.86981,0.57231,0.76146,1.33454,0.001109,0.001109,0.001109
11,452.624,0.82368,0.72143,0.7989,1.34569,0.92946,0.84058,0.91251,0.76342,0.93747,0.84783,0.92194,0.80867,0.89522,0.55593,0.76208,1.31023,0.00101,0.00101,0.00101
12,493.356,0.77552,0.66615,0.75089,1.3202,0.94461,0.86511,0.93,0.77755,0.95253,0.87236,0.93717,0.82453,0.83283,0.59707,0.71701,1.28243,0.000911,0.000911,0.000911
13,532.755,0.77369,0.63626,0.69684,1.30205,0.9376,0.86594,0.9158,0.7841,0.9376,0.86594,0.9202,0.81047,0.76159,0.54988,0.70988,1.25975,0.000812,0.000812,0.000812
14,572.26,0.73085,0.61008,0.64959,1.27372,0.975,0.8477,0.9358,0.82597,0.975,0.8477,0.94219,0.84082,0.76081,0.55464,0.65586,1.24464,0.000713,0.000713,0.000713
15,612.433,0.69948,0.55682,0.63333,1.24326,0.93842,0.88768,0.95392,0.85771,0.94545,0.89493,0.9585,0.85428,0.68621,0.50227,0.56852,1.17619,0.000614,0.000614,0.000614
16,651.879,0.65102,0.56276,0.5775,1.22982,0.95617,0.86957,0.9503,0.83275,0.96127,0.87681,0.95487,0.8606,0.76389,0.51369,0.5876,1.20998,0.000515,0.000515,0.000515
17,692.776,0.62247,0.51726,0.53147,1.19065,0.93281,0.90545,0.95619,0.85955,0.93337,0.91363,0.96236,0.8674,0.67967,0.46102,0.53194,1.17698,0.000416,0.000416,0.000416
18,731.896,0.59748,0.51801,0.52842,1.18776,0.9643,0.88078,0.95779,0.87541,0.9684,0.88827,0.96144,0.86809,0.64335,0.45481,0.5412,1.12849,0.000317,0.000317,0.000317
19,771.252,0.57248,0.47639,0.49267,1.17308,0.94591,0.91304,0.96111,0.87605,0.94966,0.91667,0.96448,0.87982,0.62376,0.4306,0.50797,1.11529,0.000218,0.000218,0.000218
20,810.346,0.55467,0.48341,0.48017,1.1605,0.96953,0.8913,0.96144,0.8888,0.94458,0.92391,0.96553,0.88627,0.61009,0.42978,0.49344,1.09093,0.000119,0.000119,0.000119
