epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.094,2.29277,1.9989,1.63724,0.43134,0.34496,0.32399,0.11265,2.34791,1.81113,1.55551,0.000666166,0.000666166,0.000666166
2,610.706,2.14127,1.65495,1.53533,0.52192,0.4318,0.42341,0.13894,2.33726,1.68176,1.55537,0.00120088,0.00120088,0.00120088
3,909.02,2.08539,1.55895,1.50447,0.56231,0.46819,0.46725,0.16832,2.21524,1.49361,1.49226,0.0016036,0.0016036,0.0016036
4,1205.67,2.03965,1.47598,1.47492,0.57917,0.49368,0.5059,0.188,2.15071,1.42562,1.45702,0.001406,0.001406,0.001406
5,1505.38,1.9977,1.40988,1.44815,0.61009,0.51425,0.54407,0.20185,2.14973,1.41014,1.46316,0.001208,0.001208,0.001208
6,1798.29,1.95878,1.34592,1.41842,0.61778,0.53633,0.56444,0.21591,2.1261,1.33385,1.42943,0.00101,0.00101,0.00101
7,2088.02,1.92315,1.29275,1.39465,0.64342,0.54343,0.58613,0.22962,2.07656,1.27958,1.40989,0.000812,0.000812,0.000812
8,2376.31,1.89289,1.2545,1.37644,0.64897,0.5569,0.60252,0.24132,2.06911,1.24346,1.39813,0.000614,0.000614,0.000614
9,2667.05,1.86471,1.20428,1.35235,0.67615,0.56689,0.62538,0.2569,2.01841,1.20393,1.36157,0.000416,0.000416,0.000416
10,2957.04,1.83173,1.16892,1.33456,0.67154,0.58108,0.63583,0.26678,1.97445,1.17965,1.347,0.000218,0.000218,0.000218
